7.4286  -2.0000  7.4286  
8.4286  -2.0000  8.4286  
8.4286  2.0000  8.4286  
7.4286  2.0000  7.4286  

7.4286  -2.0000  7.4286  
8.4286  -2.0000  6.4286  
8.4286  2.0000  6.4286  
7.4286  2.0000  7.4286  

7.4286  -2.0000  7.4286  
6.4286  -2.0000  6.4286  
6.4286  2.0000  6.4286  
7.4286  2.0000  7.4286  

7.4286  -2.0000  7.4286  
6.4286  -2.0000  8.4286  
6.4286  2.0000  8.4286  
7.4286  2.0000  7.4286  

7.4286  -2.0000  7.4286  
8.4286  -2.0000  8.4286  
8.4286  2.0000  8.4286  
7.4286  2.0000  7.4286  

